rang_popularite,topic_name,topic_category,nombre_avis,pourcentage_total,note_moyenne,sentiment_positif_count,sentiment_positif_pct,sentiment_negatif_count,sentiment_negatif_pct,sentiment_neutre_count,sentiment_neutre_pct,note_5_count,note_5_pct,note_4_count,note_4_pct,note_3_count,note_3_pct,note_2_count,note_2_pct,note_1_count,note_1_pct,nombre_banques,banque_principale,banque_principale_count,banque_principale_pct,nombre_villes,ville_principale,ville_principale_count,ville_principale_pct,longueur_moyenne_avis,performance_level,sentiment_dominant,popularite_level
1,Service Client,Expérience Client,3585,84.15,0.0,954,26.61,1240,34.59,1391,38.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,13,CIH Bank,1147,31.99,32,Marrakech,508,14.17,135.0,Faible,Mixte,Très Populaire
2,Expérience Générale,Général,537,12.61,0.0,110,20.48,76,14.15,351,65.36,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,13,CIH Bank,207,38.55,32,Tanger,64,11.92,34.0,Faible,Mixte,Populaire
3,Temps d'Attente,Opérations,138,3.24,0.0,47,34.06,4,2.9,87,63.04,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,13,CIH Bank,30,21.74,27,Rabat,17,12.32,47.0,Faible,Mixte,Faible
